# World record times
50	5.55	5.96
60	6.39	6.85
100	9.78	10.49
150	14.45	16.50
200	19.32	21.34
300	30.85	34.1
400	43.18	47.6
500	60.08	65.9
600	72.81	82.63
800	101.1	113.28
1000	131.96	148.89
1500	206.0	230.46
1609	223.13	252.56 # Mile
2000	284.79	325.36
3000	440.67	486.11
3218	478.61	538.58 # two miles
5000	757.35	851.15
10000	1577.53	1771.78
15000	2473.0	2787.7
20000	3321.0	3926.6
21097.5	3513.0	3940 # Half-marathon
25000	4310.0	4793
30000	5269.0	5796
42195	7439.0	8125 # Marathon
50000	9818	11319
100000	22413	23591
246000	82660	104859 # Spartathlon http://en.wikipedia.org/wiki/Spartathlon
#303506	86400	 # 24 Hour, men
#254425		86400 # 24 hour, women
